鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
寶山鄉,房地(土地+建物),新竹縣寶山鄉水仙路,535.37,,山坡地保育區,丙種建築用地,1150321,土地19建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,247.63,3,2,4,有,無,41560000,167831,,0.0,0,162-13地號面積427.56M?分割後移轉257.44M?，253地號面積2789.22M?分割移轉720.88M?,RPQNMLPLLHLGFCJ68CB,半畝野村1期-別墅4區,B棟8號,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉綠獅三街,71.53,,鄉村區,乙種建築用地,1150321,土地2建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,,215.06,4,2,4,有,無,29800000,138566,一樓平面,0.0,0,,RPRNMLPLLHLGFCJ78CB,敘緣,E棟10號,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉文山路,42.94,住,,,1150325,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.31,3,2,2,有,無,18890000,171121,坡道平面,8.53,2500000,註：停車面積共13.75平方公尺，其中面積約5.22平方公尺因無頂蓋無法登記，為約定專用部份詳如合約記載。,RPPNMLKMLHLGFCJ18CB,文嶼琚,A棟2號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉嘉興路一段,32.22,,特定農業區,甲種建築用地,1150321,土地3建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.5,3,2,2,有,無,12200000,96320,坡道平面,31.45,1600000,,RPQNMLKMLHLGFDJ38CB,耀時代,5A號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,26.45,住,,,1150327,土地1建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.77,3,2,2,有,無,32080000,219628,坡道平面,61.56,4800000,,RPRNMLLMLHLGFBJ38CB,太睿春天,A棟13F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市國盛街,17.1,住,,,1150322,土地19建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.9,2,2,2,有,無,17950000,170455,坡道平面,39.38,2350000,,RPPNMLLJMHLGFBJ97CB,峻勝文化首勝,B-12F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興二路,26.19,住,,,1150323,土地11建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.43,3,2,2,有,無,33160000,262150,坡道平面,40.0,2900000,,RPQNMLLJMHLGFBJ08CB,鴻湛,B-06F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中泰路,11.92,商,,,1150326,土地2建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.14,2,2,2,有,無,19150000,182177,坡道平面,34.02,2550000,,RPSNMLLJMHLGFBJ28CB,鋐之丘,B3棟6號,
寶山鄉,房地(土地+建物),新竹縣寶山鄉水仙路,504.34,,山坡地保育區,丙種建築用地,1150325,土地19建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,225.53,3,2,3,有,無,37300000,165388,,0.0,0,162-13地號面積427.56M?分割後移轉257.44M?，253地號面積2789.22M?分割移轉720.88M?,RPPNMLLJMHLGFCJ08CB,半畝野村1期-別墅4區,A棟1號,
新豐鄉,房地(土地+建物),新竹縣新豐鄉後湖段埔和小段,166.87,,特定農業區,甲種建築用地,1150330,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,203.62,5,1,4,有,無,18600000,91347,,0.0,0,,RPPNMLLJMHLGFDJ18CB,糖院,A棟6號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉環城東路,75.84,,山坡地保育區,丙種建築用地,1150329,土地18建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,211.15,3,2,2,有,無,31290000,165178,坡道平面,32.01,1700000,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之25.18。,RPQNMLRJMHLGFCJ78CB,宏道新竹帝寶5區1號,A2棟3F號,
寶山鄉,房地(土地+建物),新竹縣寶山鄉環城東路,94.14,,山坡地保育區,丙種建築用地,1150326,土地18建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,222.35,3,2,2,有,無,38700000,174050,,0.0,0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.25。,RPRNMLRJMHLGFCJ88CB,宏道新竹帝寶5區1號,C1棟5F號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉環城東路,75.84,,山坡地保育區,丙種建築用地,1150329,土地18建物1車位2,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,243.16,3,2,2,有,無,34030000,171542,坡道平面,64.02,3300000,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之25.18。,RPSNMLRJMHLGFCJ98CB,宏道新竹帝寶5區1號,A2棟7F號,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉文富街,50.13,住,,,1150329,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.75,3,2,2,有,無,26350000,161354,坡道平面,42.6,1800000,,RPPNMLTJMHLGFCJ88CB,山美,B棟4F號,
湖口鄉,房地(土地+建物),新竹縣湖口鄉中平路一段89巷1弄8號旁,17.0,住,,,1150329,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,57.03,1,1,1,有,無,5230000,91706,,0.0,0,,RPPNMLLKMHLGFDJ28CB,徜青樹,A棟3F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉德興路242巷68弄15號旁,32.7,,一般農業區,甲種建築用地,1150329,土地3建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.56,2,2,2,有,無,9100000,85605,坡道平面,23.78,1500000,,RPRNMLNKMHLGFDJ68CB,湖心繪,C6棟4F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山二街168號對面,30.64,住,,,1150331,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.02,3,2,2,有,無,14990000,106639,坡道平面,29.8,1850000,,RPRNMLPKMHLGFDJ88CB,旭昇,A1棟03號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山二街168號對面,30.64,住,,,1150331,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.15,3,2,2,有,無,15320000,110012,坡道平面,29.8,1750000,,RPSNMLPKMHLGFDJ98CB,旭昇,A6棟03F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中正三街達生七街,20.27,住,,,1150322,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.04,2,2,1,有,無,10520000,110945,坡道平面,27.64,1600000,,RPPNMLSKMHLGFDJ98CB,益欣悠陽,B5棟7F號,
新埔鎮,房地(土地+建物),新竹縣新埔鎮大享路,127.79,,山坡地保育區,丙種建築用地,1150329,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,207.28,4,2,6,有,無,27180000,131127,,0.0,0,,RPPNMLKLMHLGFBJ08CB,夏目漱石-日初,B棟1號,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮青山街303號,76.86,住,,,1150326,土地4建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,,182.57,4,2,3,有,無,17880000,97935,一樓平面,0.0,0,,RPRNMLLLMHLGFBJ38CB,瑞晟敘森林,S棟1號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市白地粉段745地號,20.29,,鄉村區,乙種建築用地,1150325,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.99,2,2,1,有,無,9880000,85180,坡道平面,34.35,0,,RPSNMLLLMHLGFBJ48CB,微上,F棟3F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中泰路,14.83,商,,,1150330,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.64,3,2,2,有,無,23300000,182186,坡道平面,34.02,2600000,,RPTNMLLLMHLGFBJ58CB,鋐之丘,B1棟10號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中正三街達生七街,18.91,住,,,1150330,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.49,2,2,1,有,無,9880000,111052,坡道平面,26.48,1550000,,RPPNMLPLMHLGFDJ78CB,益欣悠陽,A6棟5F號,
