鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
關西鎮,土地,中山段349-1地號,25.86,住,,,1150305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3519000,136079,,0.0,0,未登記建物；,RPWNMLPJLHLGFBJ98DA,0.0,0.0,0.0,無,
關西鎮,土地,苧子園段154-5地號,85.0,,山坡地保育區,丙種建築用地,1150303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,14118,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLMKLHLGFBJ18EA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐南路一段３６號十三樓,83.03,住,,,1150304,土地1建物1車位3,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060329,557.88,4,3,4,有,有,85000000,152360,坡道平面,0.0,0,,RPPOMLMKLHLGFBJ18DA,239.22,14.55,41.84,有,001
竹北市,房地(土地+建物),新竹縣竹北市中華路１２６巷３１弄９號,79.45,商,,,1150304,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0760521,111.42,3,2,2,有,無,11055640,99225,,0.0,0,,RPPNMLNKLHLGFBJ18DA,103.64,7.78,0.0,無,
峨眉鄉,土地,水流東段152地號,5021.33,,山坡地保育區,農牧用地,1150307,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7000000,1394,,0.0,0,農作物；農業設施；,RPRNMLQKLHLGFCJ78DA,0.0,0.0,0.0,無,
橫山鄉,土地,合興段537地號,707.51,,山坡地保育區,農牧用地,1150311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,215000,304,,0.0,0,,RPWNMLQKLHLGFCJ66DA,0.0,0.0,0.0,無,
關西鎮,房地(土地+建物),新竹縣關西鎮光復新村一街１０號,106.62,住,,,1150211,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0660205,179.94,5,2,3,有,無,7000000,38902,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRJLHLGFBJ68DA,179.94,0.0,0.0,無,002
北埔鄉,土地,福林段742-1地號,76.2,,鄉村區,乙種建築用地,1150226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,576200,7562,,0.0,0,未登記建物；,RPPNMLPJLHLGFCJ48EA,0.0,0.0,0.0,無,
北埔鄉,土地,福林段742地號,191.98,,鄉村區,乙種建築用地,1150226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1451500,7561,,0.0,0,未登記建物；,RPQNMLPJLHLGFCJ58EA,0.0,0.0,0.0,無,
