鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹東鎮,房地(土地+建物),新竹縣竹東鎮敦睦街３１號,52.27,都市：其他:住宅區,,,1150409,土地3建物1車位0,全,一層,透天厝,住家用,加強磚造,0630808,49.76,3,2,2,有,無,5000000,100482,,0.0,0,,RPVOMLKMMHLGFCJ98DA,49.76,0.0,0.0,無,
關西鎮,土地,燥坑段200地號,49.59,,山坡地保育區,農牧用地,1150410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,99000,1996,,0.0,0,,RPPNMLMLMHLGFBJ38EA,0.0,0.0,0.0,無,001
關西鎮,土地,燥坑段200地號,89.26,,山坡地保育區,農牧用地,1150410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,178000,1994,,0.0,0,,RPQNMLMLMHLGFBJ48EA,0.0,0.0,0.0,無,001
關西鎮,土地,燥坑段200地號,49.59,,山坡地保育區,農牧用地,1150410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,99000,1996,,0.0,0,,RPRNMLMLMHLGFBJ58EA,0.0,0.0,0.0,無,001
尖石鄉,土地,那羅段71地號,414.0,,山坡地保育區,農牧用地,1150414,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,604,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLTLMHLGFCJ09DA,0.0,0.0,0.0,無,
竹北市,土地,竹北段506地號,13.8,住,,,1150421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,210000,15217,,0.0,0,包含公共設施保留地用地；,RPPNMLSLMHLGFBJ88DA,0.0,0.0,0.0,無,004
竹東鎮,土地,竹東段竹東小段384-5地號,37.58,都市：其他:住宅區,,,1150407,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3410000,90740,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLNLMHLGFCJ66DA,0.0,0.0,0.0,無,005
竹東鎮,土地,竹東段竹東小段384-5地號,37.58,都市：其他:住宅區,,,1150407,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3410000,90740,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLNLMHLGFCJ48DA,0.0,0.0,0.0,無,005
湖口鄉,房地(土地+建物),新竹縣湖口鄉新興路５４８號,59.1,住,,,1150406,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0950913,197.66000000000003,6,2,7,有,有,7600000,38450,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKMMHLGFDJ68DA,165.21,10.38,0.0,無,007
湖口鄉,房地(土地+建物),新竹縣湖口鄉成功路４５４巷４５弄２０號,80.64,,特定農業區,甲種建築用地,1150406,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140714,234.28,5,2,4,有,無,19400000,82807,,0.0,0,,RPXNMLKMMHLGFDJ56DA,215.26,0.0,19.02,無,
湖口鄉,土地,建興段鳳凰小段597地號,116.0,,工業區,丁種建築用地,1150410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12600000,108621,,0.0,0,,RPPNMLNJNHLGFDJ48DA,0.0,0.0,0.0,無,
芎林鄉,土地,上山壹段196地號,16.79,,山坡地保育區,丙種建築用地,1150413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,725000,43180,,0.0,0,,RPRNMLMLMHLGFCJ68EA,0.0,0.0,0.0,無,008
關西鎮,土地,上橫坑段856地號,2217.82,,山坡地保育區,林業用地,1150421,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1677225,756,,0.0,0,,RPTNMLMLMHLGFBJ68DA,0.0,0.0,0.0,無,
竹北市,土地,新庄子段1099-2地號,2.5,,鄉村區,乙種建築用地,1150427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,62000,24800,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLOLMHLGFBJ98DA,0.0,0.0,0.0,無,
關西鎮,土地,石光段450地號,72.37,,特定農業區,甲種建築用地,1150405,土地1建物0車位0,,,其他,,,,0.0,6,2,2,有,無,3780000,52232,,0.0,0,未登記建物；,RPROMLSLMHLGFBJ56DA,0.0,0.0,0.0,無,
